center_to_line,line_in_sphere,line_in_cube
0.470877,0.3363,1.00726
0.306286,0.790415,1.0745
0.174675,0.936992,1.23436
0.0754392,0.988552,1.14765
0.27238,0.838592,1.05552
0.0533527,0.994291,1.29987
0.470678,0.337415,0.846889
0.258613,0.855849,1.03279
0.566257,0,0.913663
0.294895,0.807557,1.02161
0.365389,0.682615,0.975761
0.142752,0.958377,1.31097
0.325485,0.759103,0.906617
0.416699,0.552673,0.796753
0.540078,0,0.27317
0.234093,0.88363,1.00613
0.41414,0.560314,0.783723
0.530387,0,0.452518
0.399109,0.602368,1.00547
0.266116,0.846599,1.15764
0.410857,0.569899,0.675676
0.394433,0.614565,0.830273
0.110386,0.975326,1.40299
0.398236,0.604676,1.12337
0.651221,0,0.354947
0.240891,0.876291,1.12015
0.107521,0.976605,1.12212
0.532372,0,0.484612
0.127855,0.966753,1.24873
0.615566,0,0.247935
0.572599,0,0.651302
0.302748,0.795849,0.977343
0.40486,0.586817,1.02364
0.393541,0.616848,1.07445
0.349018,0.716062,0.992851
0.266896,0.845616,1.15909
0.406494,0.58228,0.808214
0.438982,0.478727,0.877943
0.446318,0.450778,0.825243
0.549726,0,1.00096
0.37739,0.655979,1.02285
0.281232,0.826821,0.859526
0.32872,0.753507,1.04128
0.220371,0.897633,1.09654
0.232458,0.885355,1.14687
0.532107,0,0.460283
0.161319,0.946522,1.10752
0.261558,0.852261,1.04749
0.0389294,0.996964,1.38582
0.200275,0.916274,1.04567
0.517543,0,0.884964
0.270126,0.841504,1.10128
0.378013,0.654542,1.03829
0.407889,0.578365,1.01402
0.191808,0.923492,1.172
0.268952,0.843006,1.15939
0.374912,0.661637,1.00072
0.230124,0.88779,1.4094
0.248842,0.867359,1.1913
0.0982145,0.980518,1.41521
0.294222,0.808538,1.04874
0.515499,0,0.904699
0.428505,0.515299,1.03679
0.577806,0,0.763779
0.2679,0.844345,1.196
0.564802,0,0.995493
0.36871,0.675434,0.718508
0.166498,0.942928,1.21189
0.232133,0.885696,1.10094
0.443027,0.463583,1.15949
0.450363,0.434387,0.82165
0.372683,0.666655,0.757348
0.374374,0.662856,1.20321
0.469294,0.345041,1.02991
0.22888,0.889076,1.14388
0.480131,0.279098,0.715669
0.294507,0.808122,1.12297
0.455134,0.414018,1.10519
0.193352,0.922204,1.1726
0.61086,0,0.731953
0.190854,0.924283,1.1763
0.406976,0.580931,1.13219
0.358022,0.698056,0.88728
0.211828,0.905823,1.03916
0.388562,0.629348,1.12018
0.17625,0.935812,1.19775
0.267985,0.844237,1.02391
0.609004,0,0.513081
0.478188,0.29214,1.00848
0.287516,0.818131,1.12209
0.165015,0.943971,1.03217
0.277619,0.831691,1.02745
0.166144,0.943178,1.28633
0.31507,0.776482,1.22825
0.506011,0,1.19199
0.546951,0,1.01859
0.494226,0.151534,0.569243
0.548513,0,1.00486
0.15029,0.953757,1.27245
0.23008,0.887836,1.01883
0.594517,0,0.756426
0.278822,0.830081,1.05402
0.548314,0,0.979896
0.499835,0.025715,0.957129
0.45301,0.423233,0.775076
0.294265,0.808475,1.08765
0.316001,0.774967,1.04118
0.638909,0,0.288263
0.29631,0.805482,1.16399
0.149681,0.95414,1.22495
0.333365,0.7453,1.09753
0.3677,0.677632,1.10979
0.517048,0,1.10441
0.28114,0.826947,1.22094
0.315072,0.776478,1.06494
0.324591,0.760633,1.09523
0.188302,0.926375,1.19628
0.193984,0.921673,1.0203
0.198692,0.917652,1.23759
0.376192,0.658724,0.869242
0.305458,0.791695,0.935496
0.444505,0.457888,0.77302
0.271524,0.839702,1.03412
0.413322,0.562724,1.21209
0.0663582,0.991154,1.25786
0.48282,0.259883,0.513114
0.542947,0,0.346195
